Neighbourhood Name,MCI,number_of_crime
Taylor-Massey,Break and Enter,43
Taylor-Massey,Robbery,16
Taylor-Massey,Theft Over,5
Taylor-Massey,bicycle theft,9
Taylor-Massey,homicide,1
The Beaches,Assault,90
The Beaches,Auto Theft,7
The Beaches,Break and Enter,77
The Beaches,Robbery,19
The Beaches,Theft Over,4
The Beaches,bicycle theft,93
Thistletown-Beaumond Heights,Assault,39
Thistletown-Beaumond Heights,Auto Theft,13
Thistletown-Beaumond Heights,Break and Enter,23
Thistletown-Beaumond Heights,Robbery,16
Thistletown-Beaumond Heights,Theft Over,1
Thistletown-Beaumond Heights,bicycle theft,3
Thorncliffe Park,Assault,85
Thorncliffe Park,Auto Theft,4
Thorncliffe Park,Break and Enter,24
Thorncliffe Park,Robbery,16
Thorncliffe Park,Theft Over,11
Thorncliffe Park,bicycle theft,15
Thorncliffe Park,homicide,1
Trinity-Bellwoods,Assault,169
Trinity-Bellwoods,Auto Theft,25
Trinity-Bellwoods,Break and Enter,46
Trinity-Bellwoods,Robbery,25
Trinity-Bellwoods,Theft Over,2
Trinity-Bellwoods,bicycle theft,69
Trinity-Bellwoods,homicide,1
University,Assault,126
University,Auto Theft,13
University,Break and Enter,49
University,Robbery,26
University,Theft Over,5
University,bicycle theft,135
Victoria Village,Assault,132
Victoria Village,Auto Theft,20
Victoria Village,Break and Enter,21
Victoria Village,Robbery,13
Victoria Village,Theft Over,4
Victoria Village,bicycle theft,1
Victoria Village,homicide,2
Waterfront Communities-The Island,Assault,882
Waterfront Communities-The Island,Auto Theft,39
Waterfront Communities-The Island,Break and Enter,214
Waterfront Communities-The Island,Robbery,70
Waterfront Communities-The Island,Theft Over,56
Waterfront Communities-The Island,bicycle theft,416
West Hill,Assault,419
West Hill,Auto Theft,15
West Hill,Break and Enter,72
West Hill,Robbery,77
West Hill,Theft Over,7
West Hill,bicycle theft,26
West Humber-Clairville,Assault,308
West Humber-Clairville,Auto Theft,316
West Humber-Clairville,Break and Enter,130
West Humber-Clairville,Robbery,99
West Humber-Clairville,Theft Over,40
West Humber-Clairville,bicycle theft,21
West Humber-Clairville,homicide,4
Westminster-Branson,Assault,128
Westminster-Branson,Auto Theft,26
Westminster-Branson,Break and Enter,20
Westminster-Branson,Robbery,13
Westminster-Branson,Theft Over,6
Westminster-Branson,bicycle theft,15
Weston,Assault,192
Weston,Auto Theft,40
Weston,Break and Enter,44
Weston,Robbery,47
Weston,Theft Over,2
Weston,bicycle theft,7
Weston,homicide,4
Weston-Pelham Park,Assault,92
Weston-Pelham Park,Auto Theft,16
Weston-Pelham Park,Break and Enter,16
Weston-Pelham Park,Robbery,15
